City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,nur-sultan,51.1801,71.446,30.97,25,0,6.0,KZ,Jun  8 2023
281,taitung city,22.7583,121.1444,28.15,89,75,3.6,TW,Jun  8 2023
282,tolanaro,-25.0319,46.9987,21.04,94,20,2.06,MG,Jun  8 2023
283,visakhapatnam,17.69,83.2093,34.96,52,90,3.88,IN,Jun  8 2023
284,veraval,20.9,70.3667,30.87,65,13,3.96,IN,Jun  8 2023
285,uttar char fasson,22.2332,90.7132,30.59,64,100,2.61,BD,Jun  8 2023
286,torghay,49.6339,63.4981,21.97,42,41,5.53,KZ,Jun  8 2023
287,san jose de jachal,-30.2406,-68.7469,15.77,47,0,1.19,AR,Jun  8 2023
288,inarajan village,13.2736,144.7484,32.54,80,92,5.41,GU,Jun  8 2023
289,yaren,-0.5472,166.916,29.23,73,91,3.55,NR,Jun  8 2023
290,bikenibeu village,1.3673,173.1241,30.98,74,40,2.57,KI,Jun  8 2023
291,wynyard,-41.0,145.7167,13.32,88,28,5.31,AU,Jun  8 2023
292,wailua homesteads,22.0669,-159.378,26.44,79,20,5.14,US,Jun  8 2023
293,dongola,19.1667,30.4833,33.49,30,62,6.9,SD,Jun  8 2023
294,tura,25.5198,90.2201,28.54,69,100,1.45,IN,Jun  8 2023
295,mabai,23.0128,104.4508,22.48,79,95,1.01,CN,Jun  8 2023
296,tangalle,6.024,80.7911,32.09,63,76,7.36,LK,Jun  8 2023
297,sinabang,2.4803,96.3801,29.89,65,87,1.6,ID,Jun  8 2023
298,ugbokpo,7.6565,7.8664,23.19,93,93,2.39,NG,Jun  8 2023
299,haiku-pauwela,20.9219,-156.3051,26.01,66,40,5.66,US,Jun  8 2023
300,aripuana,-9.1667,-60.6333,23.31,92,99,0.28,BR,Jun  8 2023
301,tabas,33.5959,56.9244,32.04,20,100,2.79,IR,Jun  8 2023
302,itaituba,-4.2761,-55.9836,23.63,88,68,0.75,BR,Jun  8 2023
303,maceio,-9.6658,-35.7353,23.69,100,75,2.06,BR,Jun  8 2023
304,polyarnyy,69.1989,33.4478,5.34,68,40,2.96,RU,Jun  8 2023
305,bethlehem,-1.4558,-48.5044,25.02,94,75,0.0,BR,Jun  8 2023
306,nuuk,64.1835,-51.7216,0.34,80,100,4.12,GL,Jun  8 2023
307,kone,-21.0595,164.8658,24.03,54,32,4.31,NC,Jun  8 2023
308,acarau,-2.8856,-40.12,24.89,89,0,5.15,BR,Jun  8 2023
309,imbituba,-28.24,-48.6703,19.92,65,12,1.45,BR,Jun  8 2023
310,korhogo,9.45,-5.6333,22.68,88,54,3.04,CI,Jun  8 2023
311,ishigaki,24.3448,124.1572,30.07,74,40,6.17,JP,Jun  8 2023
312,ciudad insurgentes,25.2625,-111.7753,16.01,83,62,4.72,MX,Jun  8 2023
313,balabac,7.9868,117.0645,30.62,64,25,3.13,PH,Jun  8 2023
314,usinsk,65.9939,57.5281,5.7,51,79,4.46,RU,Jun  8 2023
315,inari,68.906,27.0288,6.11,57,86,4.04,FI,Jun  8 2023
316,cartagena,10.3997,-75.5144,28.79,84,40,1.54,CO,Jun  8 2023
317,fort st. john,56.2499,-120.8529,21.94,26,20,2.57,CA,Jun  8 2023
318,letlhakeng,-24.0944,25.0298,13.54,50,7,3.16,BW,Jun  8 2023
319,nurabad,34.0734,47.9725,21.81,37,7,1.54,IR,Jun  8 2023
320,dingli,35.8614,14.3822,18.23,72,0,1.03,MT,Jun  8 2023
321,tlalixtac de cabrera,17.0667,-96.65,19.83,77,52,0.55,MX,Jun  8 2023
322,arraial do cabo,-22.9661,-42.0278,19.87,86,0,6.09,BR,Jun  8 2023
323,sinan,34.8262,126.1086,27.06,78,79,7.44,KR,Jun  8 2023
324,port-saint-louis-du-rhone,43.3833,4.8,19.13,94,75,2.06,FR,Jun  8 2023
325,tambopata,-12.7333,-69.1833,23.2,86,55,0.46,PE,Jun  8 2023
326,myrina,39.8797,25.0742,18.58,77,20,6.17,GR,Jun  8 2023
327,constitucion,-35.3333,-72.4167,12.71,86,96,4.1,CL,Jun  8 2023
328,elassona,39.8947,22.1886,16.63,62,100,0.18,GR,Jun  8 2023
